"x","y","pt","strat"
-12.7173913043478,53.4583333333333,53,"1A"
-14.1521739130435,53.375,54,"1A"
-12.9782608695652,53.375,55,"1A"
-12.8478260869565,53.375,56,"1A"
-14.2826086956522,53.2916666666667,57,"1A"
-13.1086956521739,53.2916666666667,58,"1A"
-12.9782608695652,53.2916666666667,59,"1A"
-14.2826086956522,53.2083333333333,60,"1A"
-13.2391304347826,53.2083333333333,61,"1A"
-13.1086956521739,53.2083333333333,62,"1A"
-14.4130434782609,53.125,63,"1A"
-14.2826086956522,53.125,64,"1A"
-13.3695652173913,53.125,65,"1A"
-13.2391304347826,53.125,66,"1A"
-13.1086956521739,53.125,67,"1A"
-14.4130434782609,53.0416666666667,68,"1A"
-14.2826086956522,53.0416666666667,69,"1A"
-14.1521739130435,53.0416666666667,70,"1A"
-14.0217391304348,53.0416666666667,71,"1A"
-13.8913043478261,53.0416666666667,72,"1A"
-13.7608695652174,53.0416666666667,73,"1A"
-13.6304347826087,53.0416666666667,74,"1A"
-13.5,53.0416666666667,75,"1A"
-13.3695652173913,53.0416666666667,76,"1A"
-13.2391304347826,53.0416666666667,77,"1A"
-14.2826086956522,52.9583333333333,78,"1A"
-14.1521739130435,52.9583333333333,79,"1A"
-14.0217391304348,52.9583333333333,80,"1A"
-13.8913043478261,52.9583333333333,81,"1A"
-13.7608695652174,52.9583333333333,82,"1A"
-13.6304347826087,52.9583333333333,83,"1A"
-13.5,52.9583333333333,84,"1A"
-13.3695652173913,52.9583333333333,85,"1A"
-13.2391304347826,52.9583333333333,86,"1A"
-14.1521739130435,52.875,87,"1A"
-14.0217391304348,52.875,88,"1A"
-13.8913043478261,52.875,89,"1A"
-13.7608695652174,52.875,90,"1A"
-13.6304347826087,52.875,91,"1A"
-13.5,52.875,92,"1A"
-13.3695652173913,52.875,93,"1A"
-14.1521739130435,52.7916666666667,94,"1A"
-14.0217391304348,52.7916666666667,95,"1A"
-13.8913043478261,52.7916666666667,96,"1A"
-13.7608695652174,52.7916666666667,97,"1A"
-13.6304347826087,52.7916666666667,98,"1A"
-13.5,52.7916666666667,99,"1A"
-13.3695652173913,52.7916666666667,100,"1A"
-14.0217391304348,52.7083333333333,101,"1A"
-13.8913043478261,52.7083333333333,102,"1A"
-13.7608695652174,52.7083333333333,103,"1A"
-13.6304347826087,52.7083333333333,104,"1A"
-13.5,52.7083333333333,105,"1A"
-14.0217391304348,52.625,106,"1A"
-13.8913043478261,52.625,107,"1A"
-13.7608695652174,52.625,108,"1A"
-13.6304347826087,52.625,109,"1A"
-14.0217391304348,52.5416666666667,110,"1A"
-12.195652173913,53.9583333333333,111,"1B"
-12.0652173913043,53.9583333333333,112,"1B"
-11.9347826086957,53.9583333333333,113,"1B"
-11.804347826087,53.9583333333333,114,"1B"
-11.6739130434783,53.9583333333333,115,"1B"
-11.5434782608696,53.9583333333333,116,"1B"
-13.3695652173913,53.875,117,"1B"
-13.2391304347826,53.875,118,"1B"
-13.1086956521739,53.875,119,"1B"
-12.9782608695652,53.875,120,"1B"
-12.8478260869565,53.875,121,"1B"
-12.7173913043478,53.875,122,"1B"
-12.5869565217391,53.875,123,"1B"
-12.4565217391304,53.875,124,"1B"
-12.3260869565217,53.875,125,"1B"
-12.195652173913,53.875,126,"1B"
-12.0652173913043,53.875,127,"1B"
-11.9347826086957,53.875,128,"1B"
-11.804347826087,53.875,129,"1B"
-11.6739130434783,53.875,130,"1B"
-13.6304347826087,53.7916666666667,131,"1B"
-13.5,53.7916666666667,132,"1B"
-13.3695652173913,53.7916666666667,133,"1B"
-13.2391304347826,53.7916666666667,134,"1B"
-12.3260869565217,53.7916666666667,135,"1B"
-12.195652173913,53.7916666666667,136,"1B"
-12.0652173913043,53.7916666666667,137,"1B"
-11.9347826086957,53.7916666666667,138,"1B"
-11.804347826087,53.7916666666667,139,"1B"
-13.8913043478261,53.7083333333333,140,"1B"
-13.7608695652174,53.7083333333333,141,"1B"
-12.195652173913,53.7083333333333,142,"1B"
-12.0652173913043,53.7083333333333,143,"1B"
-11.804347826087,53.7083333333333,144,"1B"
-14.0217391304348,53.625,145,"1B"
-13.8913043478261,53.625,146,"1B"
-12.3260869565217,53.625,147,"1B"
-12.195652173913,53.625,148,"1B"
-12.0652173913043,53.625,149,"1B"
-14.1521739130435,53.5416666666667,150,"1B"
-12.5869565217391,53.5416666666667,151,"1B"
-12.4565217391304,53.5416666666667,152,"1B"
-12.3260869565217,53.5416666666667,153,"1B"
-12.195652173913,53.5416666666667,154,"1B"
-12.0652173913043,53.5416666666667,155,"1B"
-14.2826086956522,53.4583333333333,156,"1B"
-12.5869565217391,53.4583333333333,157,"1B"
-12.4565217391304,53.4583333333333,158,"1B"
-12.3260869565217,53.4583333333333,159,"1B"
-12.195652173913,53.4583333333333,160,"1B"
-12.0652173913043,53.4583333333333,161,"1B"
-14.2826086956522,53.375,162,"1B"
-12.7173913043478,53.375,163,"1B"
-12.5869565217391,53.375,164,"1B"
-12.4565217391304,53.375,165,"1B"
-12.3260869565217,53.375,166,"1B"
-12.195652173913,53.375,167,"1B"
-14.4130434782609,53.2916666666667,168,"1B"
-12.8478260869565,53.2916666666667,169,"1B"
-12.7173913043478,53.2916666666667,170,"1B"
-12.5869565217391,53.2916666666667,171,"1B"
-12.4565217391304,53.2916666666667,172,"1B"
-12.3260869565217,53.2916666666667,173,"1B"
-12.195652173913,53.2916666666667,174,"1B"
-14.5434782608696,53.2083333333333,175,"1B"
-14.4130434782609,53.2083333333333,176,"1B"
-12.9782608695652,53.2083333333333,177,"1B"
-12.8478260869565,53.2083333333333,178,"1B"
-12.7173913043478,53.2083333333333,179,"1B"
-12.5869565217391,53.2083333333333,180,"1B"
-12.4565217391304,53.2083333333333,181,"1B"
-12.3260869565217,53.2083333333333,182,"1B"
-14.5434782608696,53.125,183,"1B"
-12.9782608695652,53.125,184,"1B"
-12.8478260869565,53.125,185,"1B"
-12.7173913043478,53.125,186,"1B"
-12.5869565217391,53.125,187,"1B"
-12.4565217391304,53.125,188,"1B"
-12.3260869565217,53.125,189,"1B"
-14.6739130434783,53.0416666666667,190,"1B"
-14.5434782608696,53.0416666666667,191,"1B"
-13.1086956521739,53.0416666666667,192,"1B"
-12.9782608695652,53.0416666666667,193,"1B"
-12.8478260869565,53.0416666666667,194,"1B"
-12.7173913043478,53.0416666666667,195,"1B"
-12.5869565217391,53.0416666666667,196,"1B"
-12.4565217391304,53.0416666666667,197,"1B"
-12.3260869565217,53.0416666666667,198,"1B"
-14.5434782608696,52.9583333333333,199,"1B"
-14.4130434782609,52.9583333333333,200,"1B"
-13.1086956521739,52.9583333333333,201,"1B"
-12.9782608695652,52.9583333333333,202,"1B"
-12.8478260869565,52.9583333333333,203,"1B"
-12.7173913043478,52.9583333333333,204,"1B"
-12.5869565217391,52.9583333333333,205,"1B"
-12.4565217391304,52.9583333333333,206,"1B"
-12.3260869565217,52.9583333333333,207,"1B"
-14.5434782608696,52.875,208,"1B"
-14.4130434782609,52.875,209,"1B"
-14.2826086956522,52.875,210,"1B"
-13.2391304347826,52.875,211,"1B"
-13.1086956521739,52.875,212,"1B"
-12.9782608695652,52.875,213,"1B"
-12.8478260869565,52.875,214,"1B"
-12.7173913043478,52.875,215,"1B"
-12.5869565217391,52.875,216,"1B"
-12.4565217391304,52.875,217,"1B"
-12.3260869565217,52.875,218,"1B"
-14.6739130434783,52.7916666666667,219,"1B"
-14.5434782608696,52.7916666666667,220,"1B"
-14.4130434782609,52.7916666666667,221,"1B"
-14.2826086956522,52.7916666666667,222,"1B"
-13.2391304347826,52.7916666666667,223,"1B"
-13.1086956521739,52.7916666666667,224,"1B"
-12.9782608695652,52.7916666666667,225,"1B"
-12.5869565217391,52.7916666666667,226,"1B"
-12.4565217391304,52.7916666666667,227,"1B"
-12.3260869565217,52.7916666666667,228,"1B"
-14.6739130434783,52.7083333333333,229,"1B"
-14.5434782608696,52.7083333333333,230,"1B"
-14.4130434782609,52.7083333333333,231,"1B"
-14.2826086956522,52.7083333333333,232,"1B"
-14.1521739130435,52.7083333333333,233,"1B"
-13.3695652173913,52.7083333333333,234,"1B"
-13.2391304347826,52.7083333333333,235,"1B"
-13.1086956521739,52.7083333333333,236,"1B"
-12.4565217391304,52.7083333333333,237,"1B"
-12.3260869565217,52.7083333333333,238,"1B"
-12.195652173913,52.7083333333333,239,"1B"
-12.3260869565217,52.625,240,"1B"
-12.195652173913,52.625,241,"1B"
-12.195652173913,52.5416666666667,242,"1B"
-12.195652173913,52.4583333333333,243,"1B"
-12.0652173913043,52.4583333333333,244,"1B"
-12.0652173913043,52.375,245,"1B"
-13.2391304347826,53.9583333333333,246,"1C"
-13.1086956521739,53.9583333333333,247,"1C"
-12.9782608695652,53.9583333333333,248,"1C"
-12.8478260869565,53.9583333333333,249,"1C"
-12.7173913043478,53.9583333333333,250,"1C"
-12.5869565217391,53.9583333333333,251,"1C"
