"lance","camp","sector","validez","lat","long","prof","talla","sexo","numero"
23,"N83","2B",1,43.5608,-8.7309,160.5,27,"2",1
23,"N83","2B",1,43.5608,-8.7309,160.5,28,"1",1
23,"N83","2B",1,43.5608,-8.7309,160.5,28,"2",2
23,"N83","2B",1,43.5608,-8.7309,160.5,29,"2",1
23,"N83","2B",1,43.5608,-8.7309,160.5,30,"2",1
23,"N83","2B",1,43.5608,-8.7309,160.5,31,"1",2
24,"N83","2B",1,43.6616,-8.6067,172.5,24,"1",1
24,"N83","2B",1,43.6616,-8.6067,172.5,27,"2",2
24,"N83","2B",1,43.6616,-8.6067,172.5,39,"1",1
25,"N83","2B",1,43.4192,-8.5584,108.5,33,"1",1
26,"N83","2B",1,43.4758,-8.4983,114.5,27,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,28,"1",1
26,"N83","2B",1,43.4758,-8.4983,114.5,28,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,34,"2",2
26,"N83","2B",1,43.4758,-8.4983,114.5,35,"1",1
26,"N83","2B",1,43.4758,-8.4983,114.5,36,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,38,"1",1
26,"N83","2B",1,43.4758,-8.4983,114.5,38,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,41,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,42,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,44,"1",2
26,"N83","2B",1,43.4758,-8.4983,114.5,45,"2",1
26,"N83","2B",1,43.4758,-8.4983,114.5,48,"2",1
27,"N83","2B",1,43.6967,-8.6183,188,26,"1",1
43,"N83","2C",1,43.9042,-8.6375,412.5,39,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,20,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,21,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,21,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,22,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,22,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,23,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,23,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,24,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,24,"2",2
44,"N83","2C",1,43.8192,-8.6916,405,25,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,25,"2",2
44,"N83","2C",1,43.8192,-8.6916,405,26,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,26,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,27,"1",1
44,"N83","2C",1,43.8192,-8.6916,405,27,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,28,"1",4
44,"N83","2C",1,43.8192,-8.6916,405,28,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,29,"1",6
44,"N83","2C",1,43.8192,-8.6916,405,29,"2",2
44,"N83","2C",1,43.8192,-8.6916,405,30,"1",5
44,"N83","2C",1,43.8192,-8.6916,405,30,"2",6
44,"N83","2C",1,43.8192,-8.6916,405,31,"1",2
44,"N83","2C",1,43.8192,-8.6916,405,31,"2",2
44,"N83","2C",1,43.8192,-8.6916,405,32,"1",3
44,"N83","2C",1,43.8192,-8.6916,405,32,"2",1
44,"N83","2C",1,43.8192,-8.6916,405,33,"1",1
