"","gr","esp","lan","lat","long","prof","peso.gr","numero","camp","especie"
"99","1"," 51",100,43.6399,-4.5703,195,157900,7405,"N00","Micromesistius poutassou"
"100","1"," 51",101,43.7062,-4.5221,565,562.640660165041,5,"N00","Micromesistius poutassou"
"101","1"," 51",102,43.5472,-4.2695,161.5,104650,6201,"N00","Micromesistius poutassou"
"104","1"," 51",105,43.5511,-3.8784,110.5,5560,331,"N00","Micromesistius poutassou"
"106","1"," 51",107,43.6683,-3.7794,238,696650,16272,"N00","Micromesistius poutassou"
"107","1"," 51",108,43.65,-3.7666,190,230650,6850,"N00","Micromesistius poutassou"
"108","1"," 51",109,43.4609,-3.3796,36,20,1,"N00","Micromesistius poutassou"
"109","1"," 51",110,43.4821,-3.3442,73.5,1330,60,"N00","Micromesistius poutassou"
"110","1"," 51",111,43.5775,-3.287,185.5,169200,9814,"N00","Micromesistius poutassou"
"111","1"," 51",112,43.5926,-3.1751,271,55700,2451,"N00","Micromesistius poutassou"
"112","1"," 51",113,43.5181,-2.8984,131.5,36350,1271,"N00","Micromesistius poutassou"
"113","1"," 51",114,43.5916,-2.6776,326.5,40636.2545018007,495,"N00","Micromesistius poutassou"
"114","1"," 51",115,43.5264,-2.4509,206.5,2350,48,"N00","Micromesistius poutassou"
"115","1"," 51",116,43.4613,-2.3284,136.5,139500,8482,"N00","Micromesistius poutassou"
"116","1"," 51",117,43.393,-2.3025,101.5,43350,2480,"N00","Micromesistius poutassou"
"117","1"," 51",118,43.3692,-2.0338,97,24200,1282,"N00","Micromesistius poutassou"
"118","1"," 51",119,43.3781,-2.2492,98,64000,3725,"N00","Micromesistius poutassou"
"119","1"," 51",120,43.4385,-2.2219,139,16850,756,"N00","Micromesistius poutassou"
"120","1"," 51",121,43.5587,-1.9162,152.5,7455,428,"N00","Micromesistius poutassou"
"121","1"," 51",122,43.5223,-2.0501,175.5,17650,1144,"N00","Micromesistius poutassou"
"122","1"," 90",1,42.2302,-8.9725,104,11750,46,"N00","Trachurus trachurus"
"128","1"," 90",7,41.9689,-9.0503,118,1045,4,"N00","Trachurus trachurus"
"130","1"," 90",9,42.2759,-9.1524,148,255,1,"N00","Trachurus trachurus"
"131","1"," 90",10,42.3704,-9.1753,148,5630,17,"N00","Trachurus trachurus"
"132","1"," 90",11,42.3991,-9.0521,105,2495,12,"N00","Trachurus trachurus"
"135","1"," 90",14,42.6073,-9.3679,137.5,7990,26,"N00","Trachurus trachurus"
"136","1"," 90",15,42.6168,-9.2147,101,865,3,"N00","Trachurus trachurus"
"137","1"," 90",16,42.687,-9.3087,123.5,1020,4,"N00","Trachurus trachurus"
"138","1"," 90",17,42.7934,-9.3951,144.5,38900,135,"N00","Trachurus trachurus"
"141","1"," 90",20,43.0368,-9.4167,143,32000,133,"N00","Trachurus trachurus"
"144","1"," 90",23,43.203,-9.4214,169.5,2775,8,"N00","Trachurus trachurus"
"148","1"," 90",27,43.3655,-9.0693,153,530,2,"N00","Trachurus trachurus"
"156","1"," 90",35,43.6079,-8.9208,267,300,1,"N00","Trachurus trachurus"
"161","1"," 90",40,43.8212,-8.3864,191.5,1740,5,"N00","Trachurus trachurus"
"162","1"," 90",41,43.807,-8.2927,177.5,3930,18,"N00","Trachurus trachurus"
"163","1"," 90",42,43.7136,-8.3951,163.5,270,1,"N00","Trachurus trachurus"
"164","1"," 90",43,43.6917,-8.515,173.5,215,1,"N00","Trachurus trachurus"
"167","1"," 90",46,43.455,-8.8146,151.5,2375,8,"N00","Trachurus trachurus"
"168","1"," 90",47,43.4866,-8.6249,141.5,31250,150,"N00","Trachurus trachurus"
"169","1"," 90",48,43.4678,-8.6997,138.5,66250,301,"N00","Trachurus trachurus"
"170","1"," 90",49,43.4447,-8.4951,99.5,83150,435,"N00","Trachurus trachurus"
"171","1"," 90",50,43.838,-7.9095,126.5,243130,2262,"N00","Trachurus trachurus"
"172","1"," 90",51,43.9198,-8.0607,184,203700,929,"N00","Trachurus trachurus"
"173","1"," 90",52,44.0427,-8.018,232.5,535,2,"N00","Trachurus trachurus"
"174","1"," 90",53,43.9529,-8.3525,243.5,6100,21,"N00","Trachurus trachurus"
"175","1"," 90",54,43.3679,-8.7695,92,38300,166,"N00","Trachurus trachurus"
"176","1"," 90",55,43.392,-8.6475,103,137300,742,"N00","Trachurus trachurus"
"177","1"," 90",56,43.5324,-8.5255,140.5,1235,6,"N00","Trachurus trachurus"
"178","1"," 90",57,43.6135,-8.4863,154.5,15000,62,"N00","Trachurus trachurus"
"179","1"," 90",58,43.7885,-7.5382,115,3960,20,"N00","Trachurus trachurus"
"183","1"," 90",62,43.8576,-7.3249,155,3,1,"N00","Trachurus trachurus"
"184","1"," 90",63,43.5955,-6.1066,58,16820,614,"N00","Trachurus trachurus"
"185","1"," 90",64,43.6868,-6.0831,111.5,173520,1533,"N00","Trachurus trachurus"
"186","1"," 90",65,43.7895,-6.0969,221.5,1315,6,"N00","Trachurus trachurus"
"187","1"," 90",66,43.6874,-6.266,129.5,1570,91,"N00","Trachurus trachurus"
"188","1"," 90",68,43.7159,-6.4108,133.5,755,23,"N00","Trachurus trachurus"
"189","1"," 90",69,43.7752,-7.3027,137.5,390,2,"N00","Trachurus trachurus"
"190","1"," 90",70,43.6908,-7.1738,118.5,530,7,"N00","Trachurus trachurus"
"191","1"," 90",71,43.7066,-7.0306,122.5,26000,162,"N00","Trachurus trachurus"
"192","1"," 90",72,43.7984,-7.1193,142.5,1265,7,"N00","Trachurus trachurus"
"194","1"," 90",74,43.6198,-7.053,106,1600,9,"N00","Trachurus trachurus"
"198","1"," 90",78,43.8983,-6.5349,232,26850,143,"N00","Trachurus trachurus"
"199","1"," 90",79,43.9235,-6.6224,177,1340,6,"N00","Trachurus trachurus"
"201","1"," 90",81,43.7598,-6.2875,234.5,29650,148,"N00","Trachurus trachurus"
"202","1"," 90",82,43.8469,-5.7763,173.5,14600,79,"N00","Trachurus trachurus"
"203","1"," 90",83,43.8916,-5.6007,287.5,185,6,"N00","Trachurus trachurus"
"204","1"," 90",84,43.7601,-5.3821,155,935,6,"N00","Trachurus trachurus"
"205","1"," 90",85,43.6873,-5.4947,137,186,1,"N00","Trachurus trachurus"
"207","1"," 90",87,43.7844,-5.5827,160.5,130,1,"N00","Trachurus trachurus"
"208","1"," 90",88,43.6677,-5.6729,93,76545,465,"N00","Trachurus trachurus"
"209","1"," 90",89,43.6308,-5.4002,116.5,14900,106,"N00","Trachurus trachurus"
"210","1"," 90",90,43.7049,-5.1851,154.5,7015,50,"N00","Trachurus trachurus"
"211","1"," 90",91,43.7278,-4.9896,180,1800,10,"N00","Trachurus trachurus"
"212","1"," 90",92,43.4809,-4.7302,93.5,33175,813,"N00","Trachurus trachurus"
"213","1"," 90",93,43.5773,-4.8556,141.5,3635,57,"N00","Trachurus trachurus"
"217","1"," 90",97,43.6551,-4.8076,186.5,7900,43,"N00","Trachurus trachurus"
"218","1"," 90",98,43.585,-4.6699,173,78250,517,"N00","Trachurus trachurus"
"220","1"," 90",100,43.6399,-4.5703,195,115550,517,"N00","Trachurus trachurus"
"222","1"," 90",102,43.5472,-4.2695,161.5,123300,942,"N00","Trachurus trachurus"
"223","1"," 90",103,43.4639,-4.3228,111.5,24555,2366,"N00","Trachurus trachurus"
"224","1"," 90",104,43.467,-4.1264,83,16200,1692,"N00","Trachurus trachurus"
"225","1"," 90",105,43.5511,-3.8784,110.5,440,28,"N00","Trachurus trachurus"
"226","1"," 90",106,43.5122,-3.7493,40,10020,802,"N00","Trachurus trachurus"
"227","1"," 90",107,43.6683,-3.7794,238,690,3,"N00","Trachurus trachurus"
"228","1"," 90",108,43.65,-3.7666,190,84150,366,"N00","Trachurus trachurus"
"229","1"," 90",109,43.4609,-3.3796,36,39240,1214,"N00","Trachurus trachurus"
"230","1"," 90",110,43.4821,-3.3442,73.5,15200,752,"N00","Trachurus trachurus"
"231","1"," 90",111,43.5775,-3.287,185.5,152770,1027,"N00","Trachurus trachurus"
"232","1"," 90",112,43.5926,-3.1751,271,9050,51,"N00","Trachurus trachurus"
"233","1"," 90",113,43.5181,-2.8984,131.5,3230,39,"N00","Trachurus trachurus"
"234","1"," 90",114,43.5916,-2.6776,326.5,21848.7394957983,152,"N00","Trachurus trachurus"
"235","1"," 90",115,43.5264,-2.4509,206.5,3680,15,"N00","Trachurus trachurus"
"236","1"," 90",116,43.4613,-2.3284,136.5,137250,1140,"N00","Trachurus trachurus"
"237","1"," 90",117,43.393,-2.3025,101.5,2300,131,"N00","Trachurus trachurus"
"238","1"," 90",118,43.3692,-2.0338,97,16700,371,"N00","Trachurus trachurus"
"239","1"," 90",119,43.3781,-2.2492,98,1660,96,"N00","Trachurus trachurus"
"240","1"," 90",120,43.4385,-2.2219,139,1345,9,"N00","Trachurus trachurus"
"241","1"," 90",121,43.5587,-1.9162,152.5,554400,4596,"N00","Trachurus trachurus"
"242","1"," 90",122,43.5223,-2.0501,175.5,125500,1024,"N00","Trachurus trachurus"
"291","1"," 60",49,43.4447,-8.4951,99.5,264050,795,"N00","Pagellus acarne"
"292","1"," 60",50,43.838,-7.9095,126.5,1450,5,"N00","Pagellus acarne"
"296","1"," 60",54,43.3679,-8.7695,92,49250,138,"N00","Pagellus acarne"
"297","1"," 60",55,43.392,-8.6475,103,32300,71,"N00","Pagellus acarne"
"302","1"," 60",60,44.0143,-7.2895,182,115,1,"N00","Pagellus acarne"
"305","1"," 60",63,43.5955,-6.1066,58,135500,1003,"N00","Pagellus acarne"
"306","1"," 60",64,43.6868,-6.0831,111.5,6780,31,"N00","Pagellus acarne"
"315","1"," 60",74,43.6198,-7.053,106,27950,117,"N00","Pagellus acarne"
"322","1"," 60",81,43.7598,-6.2875,234.5,505,2,"N00","Pagellus acarne"
"323","1"," 60",82,43.8469,-5.7763,173.5,6045,18,"N00","Pagellus acarne"
"329","1"," 60",88,43.6677,-5.6729,93,75850,184,"N00","Pagellus acarne"
"330","1"," 60",89,43.6308,-5.4002,116.5,4990,12,"N00","Pagellus acarne"
"333","1"," 60",92,43.4809,-4.7302,93.5,84500,4360,"N00","Pagellus acarne"
"334","1"," 60",93,43.5773,-4.8556,141.5,22561,57,"N00","Pagellus acarne"
"340","1"," 60",99,43.5078,-4.5613,239.5,1485,5,"N00","Pagellus acarne"
"344","1"," 60",103,43.4639,-4.3228,111.5,14800,70,"N00","Pagellus acarne"
"345","1"," 60",104,43.467,-4.1264,83,3050,21,"N00","Pagellus acarne"
"346","1"," 60",105,43.5511,-3.8784,110.5,920,3,"N00","Pagellus acarne"
"347","1"," 60",106,43.5122,-3.7493,40,112505,1384,"N00","Pagellus acarne"
"348","1"," 60",107,43.6683,-3.7794,238,455,1,"N00","Pagellus acarne"
"350","1"," 60",109,43.4609,-3.3796,36,55150,568,"N00","Pagellus acarne"
"351","1"," 60",110,43.4821,-3.3442,73.5,10950,42,"N00","Pagellus acarne"
"359","1"," 60",118,43.3692,-2.0338,97,690,1,"N00","Pagellus acarne"
"364","1"," 79",1,42.2302,-8.9725,104,2805,6,"N00","Scyliorhinus canicula"
"369","1"," 79",6,42.0299,-9.1467,139,250,3,"N00","Scyliorhinus canicula"
"371","1"," 79",8,42.1985,-9.1655,152,140,3,"N00","Scyliorhinus canicula"
"374","1"," 79",11,42.3991,-9.0521,105,6100,20,"N00","Scyliorhinus canicula"
"378","1"," 79",15,42.6168,-9.2147,101,615,5,"N00","Scyliorhinus canicula"
"379","1"," 79",16,42.687,-9.3087,123.5,1460,4,"N00","Scyliorhinus canicula"
"381","1"," 79",18,42.7852,-9.539,234.5,240,3,"N00","Scyliorhinus canicula"
"382","1"," 79",19,42.9348,-9.5599,238.5,45,1,"N00","Scyliorhinus canicula"
"383","1"," 79",20,43.0368,-9.4167,143,220,1,"N00","Scyliorhinus canicula"
"388","1"," 79",25,43.3694,-9.3619,275.5,350,2,"N00","Scyliorhinus canicula"
"390","1"," 79",27,43.3655,-9.0693,153,1005,2,"N00","Scyliorhinus canicula"
"398","1"," 79",35,43.6079,-8.9208,267,155,2,"N00","Scyliorhinus canicula"
