"especie","aphia"
"Venus nux","141935"
"Mimachlamys varia","236719"
"Philine aperta","149744"
"Crassostrea sp.","138297"
"Tritonia sp.","138580"
"Sepiola ligulata","141457"
"Sepietta oweniana","141452"
"Fusinus rostratus","139931"
"Alloteuthis sp.","138138"
"Histioteuthis bonnellii","140111"
"Pteroctopus tetracirrhus","140606"
"Neorossia sp.","138479"
"Xenophora crispa","743862"
"Euspira catena","140528"
"Glossus humanus","140023"
"Natica sp.","138240"
"Tellina sp.","138533"
"Spisula subtruncata","140302"
"Acanthocardia paucicostata","138993"
"Bolma rugosa","141855"
"Anomia ephippium","138748"
"Chamelea gallina","141907"
"Charonia nodifera","224347"
"Buccinum humphreysianum","138865"
"Fusiturris undatiruga","141862"
"Spisula solida","140301"
"Ostrea sp.","138298"
"Opisthobranchia","382226"
"Octopus salutii","140604"
"Monoplex corrugatus","476518"
"Luria lurida","139499"
"Tethys phintaria","999999"
"Mytilidae","211"
"Donacidae","236"
"Mactra stultorum","140299"
"Galeodea echinophora","139023"
"Chamelea striatula","141908"
"Atrina pectinata","140779"
"Marionia blainvillea","141730"
"Polititapes rhomboides","745846"
"Sepiola atlantica","141454"
"Doris verrucosa","139623"
"Clausinella fasciata","141909"
"Azorinus chamasolen","141541"
"Pitar rudis","141926"
"Baptodoris cinnabarina","140788"
"Anadara gibbosa","504350"
"Turritella communis","141872"
"Bivetiella cancellata","341244"
"Nassarius cuvierii","140495"
"Arcidae","208"
"Acanthocardia sp.","137732"
"Dosinia sp.","138636"
"Acanthocardia echinata","138992"
"Nassariidae","151"
"Semicassis granulata","419784"
"Donax venustus","139603"
"Monoplex parthenopeus","476531"
"Akeridae","1753"
"Chaetopleura angulata","848025"
"Lepidochitona comyate","999999"
"Rondeletiola minor","141448"
"Aglaja tricolorata","138728"
"Chlamys sp.","138315"
"Venerupis senegalensis","146955"
"Euspira sp.","138239"
"Armina maculata","138805"
"Sepiola aurantiaca","141455"
"Callumbonella suturalis","141769"
"Calliostoma gubbiolii","141756"
"Sepiola intermedia","141456"
"Anadara inaequivalvis","138785"
"Abra longicallus","141434"
"Gasteropteron meckeli","140019"
"Thracia convexa","141644"
"Nassarius ovoideus","140510"
"Tropidomya abbreviata","139470"
"Clelandella miliaris","141774"
"Timoclea ovata","141929"
"Parvicardium minimum","139010"
"Heliacus fallaciosus","235800"
"Doris pseudoargus","181228"
"Ensis ensis","140733"
"Pharus legumen","140736"
"Astarte fusca","138822"
"Nudibranchia","1762"
"Laevicardium crassum","139004"
"Callista chione","141906"
"Peronidia albicans","878285"
"Mysia undata","140728"
"Tellina distorta","141585"
"Gouldia minima","141916"
"Aequipecten commutatus","140686"
"Sepia sp.","138477"
"Epitonium clathrus","146905"
"Nassarius sp.","138235"
"Turridae","152"
"Neverita sp.","138241"
"Pinna sp.","138352"
"Fusiturris similis","141861"
"Limopsis aurita","140252"
"Neomenia carinata","140560"
"Solenogastres","2094"
"Bathyarca philippiana","138800"
"Limopsis angusta","140251"
"Spirotropis confusa","573431"
"Pagodula echinata","181040"
"Bathyarca petunculoides","416655"
"Berthellina edwardsii","181221"
"Pseudosimnia sp.","138306"
"Dorididae","9904"
"Heteranomia squamula","138749"
"Danilia tinei","146885"
"Polyplacophora","55"
"Anamenia gorgonophila","141574"
"Pododesmus patelliformis","138751"
"Ovulidae","1747"
"Nassarius elatus","140497"
"Abra nitida","141435"
"Centrocardita aculeata","582718"
"Octopodidae","11782"
"Ommastrephes sp.","138279"
"Muricidae","148"
"Coralliophila panormitana","139400"
"Colus sp.","137704"
"Neorossia caroli","141447"
"Glycymeris sp","138035"
"Turritellidae","127"
"Sepiidae","11723"
"Sepiolidae","11725"
"Cephalopoda","11707"
"Mollusca","51"
"Octopoda","11718"
"Gastropoda","101"
"Bivalvia","105"
"Pectinidae","213"
"Cabestana cutacea","141099"
"Macoma sp.","138531"
"Cuspidaria rostrata","139453"
"Abralia veranyi","139688"
"Solecurtus sp","138513"
"Cymbuliidae","23019"
"Alloteuthis africana","225555"
"Benthoctopus ergasticus","140599"
"Neverita josephinia","140549"
"Nassarius incrassatus","140503"
"Pyroteuthis margaritifera","157031"
"Venus casina","141934"
"Flexopecten sp","181536"
"Leachia atlantica","139425"
"Ostrea edulis","140658"
"Flexopecten flexuosus","225259"
"Tritonia hombergii","416648"
"Lutraria angustior","140294"
"Calyptraea chinensis","138961"
"Sepiola affinis","141453"
"Mya arenaria","140430"
"Spisula sp.","138159"
"Armina tigrina","138807"
"Flexopecten glaber","236720"
"Pseudamussium clavatum","140716"
"Diodora graeca","139951"
"Nucula sulcata","140592"
"Hiatella arctica","140103"
"Solecurtus candidus","543533"
"Cranchia sp.","181385"
"Fusinus pulchellus","139930"
"Centrocardita aculeata","582718"
"Anseropoda placenta","123985"
"Asteronyx loveni","124951"
"Astropecten irregularis","123867"
"Hymenodiscus coronata","381759"
"Brissopsis lyrifera","124373"
"Chaetaster longipes","124004"
"Cidaris cidaris","124257"
"Gracilechinus acutus","532031"
"Echinus esculentus","124287"
"Echinus melo","124294"
"Leptometra celtica","124224"
"Luidia ciliaris","123920"
